Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2000,12,18,1,1841,1827,1956,1941,AA,1500,N2CPAA,75,74,52,15,14,AMA,DFW,313,8,15,0,NA,0,NA,NA,NA,NA,NA
2000,12,19,2,1900,1827,2037,1941,AA,1500,N2ARAA,97,74,44,56,33,AMA,DFW,313,25,28,0,NA,0,NA,NA,NA,NA,NA
2000,12,20,3,1826,1827,1939,1941,AA,1500,N2BAAA,73,74,51,-2,-1,AMA,DFW,313,13,9,0,NA,0,NA,NA,NA,NA,NA
2000,12,21,4,1827,1827,1938,1941,AA,1500,N2DHAA,71,74,51,-3,0,AMA,DFW,313,12,8,1,NA,0,NA,NA,NA,NA,NA
2000,12,22,5,1824,1827,1929,1941,AA,1500,N2DJAA,65,74,44,-12,-3,AMA,DFW,313,15,6,0,NA,0,NA,NA,NA,NA,NA
2000,12,23,6,1822,1827,1935,1941,AA,1500,N2CUAA,73,74,52,-6,-5,AMA,DFW,313,13,8,0,NA,0,NA,NA,NA,NA,NA
2000,12,24,7,NA,1827,NA,1941,AA,1500,UNKNOW,NA,74,NA,NA,NA,AMA,DFW,313,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,25,1,NA,1827,NA,1941,AA,1500,UNKNOW,NA,74,NA,NA,NA,AMA,DFW,313,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,26,2,NA,1827,NA,1941,AA,1500,UNKNOW,NA,74,NA,NA,NA,AMA,DFW,313,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,27,3,2142,1827,2306,1941,AA,1500,N2DEAA,84,74,53,205,195,AMA,DFW,313,11,20,0,NA,0,NA,NA,NA,NA,NA
2000,12,28,4,1831,1827,1952,1941,AA,1500,N2BSAA,81,74,50,11,4,AMA,DFW,313,13,18,0,NA,0,NA,NA,NA,NA,NA
2000,12,29,5,1824,1827,1932,1941,AA,1500,N2BYAA,68,74,47,-9,-3,AMA,DFW,313,8,13,0,NA,0,NA,NA,NA,NA,NA
2000,12,30,6,1823,1827,1934,1941,AA,1500,N2ADAA,71,74,45,-7,-4,AMA,DFW,313,13,13,0,NA,0,NA,NA,NA,NA,NA
2000,12,31,7,NA,1827,NA,1941,AA,1500,UNKNOW,NA,74,NA,NA,NA,AMA,DFW,313,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,1,5,2021,1645,2148,1810,AA,383,N548AA,147,145,116,218,216,ATL,DFW,732,12,19,0,NA,0,NA,NA,NA,NA,NA
2000,12,2,6,1639,1645,1803,1810,AA,383,N493AA,144,145,119,-7,-6,ATL,DFW,732,16,9,0,NA,0,NA,NA,NA,NA,NA
2000,12,3,7,1752,1645,1931,1810,AA,383,N291AA,159,145,118,81,67,ATL,DFW,732,16,25,0,NA,0,NA,NA,NA,NA,NA
2000,12,4,1,1645,1645,1804,1810,AA,383,N505AA,139,145,117,-6,0,ATL,DFW,732,13,9,0,NA,0,NA,NA,NA,NA,NA
2000,12,5,2,1644,1645,1831,1810,AA,383,N573AA,167,145,144,21,-1,ATL,DFW,732,10,13,0,NA,0,NA,NA,NA,NA,NA
2000,12,6,3,1639,1645,1754,1810,AA,383,N523AA,135,145,108,-16,-6,ATL,DFW,732,11,16,0,NA,0,NA,NA,NA,NA,NA
2000,12,7,4,1648,1645,1811,1810,AA,383,N253AA,143,145,118,1,3,ATL,DFW,732,8,17,0,NA,0,NA,NA,NA,NA,NA
2000,12,8,5,1647,1645,1807,1810,AA,383,N421AA,140,145,111,-3,2,ATL,DFW,732,16,13,0,NA,0,NA,NA,NA,NA,NA
2000,12,9,6,1642,1645,1819,1810,AA,383,N283AA,157,145,137,9,-3,ATL,DFW,732,8,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,10,7,1703,1645,1822,1810,AA,383,N585AA,139,145,120,12,18,ATL,DFW,732,5,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,11,1,1639,1645,1758,1810,AA,383,N539AA,139,145,118,-12,-6,ATL,DFW,732,11,10,0,NA,0,NA,NA,NA,NA,NA
2000,12,12,2,NA,1645,NA,1810,AA,383,UNKNOW,NA,145,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,13,3,1646,1645,1820,1810,AA,383,N245AA,154,145,118,10,1,ATL,DFW,732,12,24,0,NA,0,NA,NA,NA,NA,NA
2000,12,14,4,1659,1645,1810,1810,AA,383,N479AA,131,145,113,0,14,ATL,DFW,732,3,15,0,NA,0,NA,NA,NA,NA,NA
2000,12,1,5,2032,1955,2149,2129,AA,413,N729AA,137,154,109,20,37,ATL,DFW,732,12,16,0,NA,0,NA,NA,NA,NA,NA
2000,12,2,6,2136,1955,2243,2129,AA,413,N897AA,127,154,116,74,101,ATL,DFW,732,1,10,0,NA,0,NA,NA,NA,NA,NA
2000,12,3,7,2005,1955,2128,2129,AA,413,N866AA,143,154,113,-1,10,ATL,DFW,732,7,23,0,NA,0,NA,NA,NA,NA,NA
2000,12,4,1,2038,1955,2158,2129,AA,413,N730AA,140,154,102,29,43,ATL,DFW,732,7,31,0,NA,0,NA,NA,NA,NA,NA
2000,12,5,2,1953,1955,2122,2129,AA,413,N867AA,149,154,114,-7,-2,ATL,DFW,732,9,26,0,NA,0,NA,NA,NA,NA,NA
2000,12,6,3,1948,1955,2111,2129,AA,413,N886AA,143,154,99,-18,-7,ATL,DFW,732,20,24,0,NA,0,NA,NA,NA,NA,NA
2000,12,7,4,2003,1955,2111,2129,AA,413,N717AA,128,154,100,-18,8,ATL,DFW,732,10,18,0,NA,0,NA,NA,NA,NA,NA
2000,12,8,5,1958,1955,2125,2129,AA,413,N862AA,147,154,108,-4,3,ATL,DFW,732,14,25,0,NA,0,NA,NA,NA,NA,NA
2000,12,9,6,1956,1955,2110,2129,AA,413,N882AA,134,154,111,-19,1,ATL,DFW,732,7,16,0,NA,0,NA,NA,NA,NA,NA
2000,12,10,7,1952,1955,2059,2129,AA,413,N716AA,127,154,108,-30,-3,ATL,DFW,732,7,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,11,1,2000,1955,2138,2129,AA,413,N723AA,158,154,120,9,5,ATL,DFW,732,10,28,0,NA,0,NA,NA,NA,NA,NA
2000,12,12,2,NA,1955,NA,2129,AA,413,UNKNOW,NA,154,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,13,3,2041,1955,2203,2129,AA,413,N849AA,142,154,109,34,46,ATL,DFW,732,14,19,0,NA,0,NA,NA,NA,NA,NA
2000,12,14,4,2129,1955,2238,2129,AA,413,N885AA,129,154,104,69,94,ATL,DFW,732,8,17,0,NA,0,NA,NA,NA,NA,NA
2000,12,15,5,2043,1958,2213,2132,AA,413,N887AA,150,154,117,41,45,ATL,DFW,732,16,17,0,NA,0,NA,NA,NA,NA,NA
2000,12,16,6,NA,1958,NA,2132,AA,413,UNKNOW,NA,154,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,17,7,1956,1958,2121,2132,AA,413,N865AA,145,154,115,-11,-2,ATL,DFW,732,14,16,0,NA,0,NA,NA,NA,NA,NA
2000,12,18,1,1958,1958,2132,2132,AA,413,N843AA,154,154,118,0,0,ATL,DFW,732,10,26,0,NA,0,NA,NA,NA,NA,NA
2000,12,19,2,2047,1958,2156,2132,AA,413,N880AA,129,154,104,24,49,ATL,DFW,732,10,15,0,NA,0,NA,NA,NA,NA,NA
2000,12,20,3,2027,1958,2154,2132,AA,413,N2BFAA,147,154,118,22,29,ATL,DFW,732,8,21,0,NA,0,NA,NA,NA,NA,NA
2000,12,21,4,2032,1958,2201,2132,AA,413,N723AA,149,154,108,29,34,ATL,DFW,732,10,31,1,NA,0,NA,NA,NA,NA,NA
2000,12,22,5,1958,1958,2131,2132,AA,413,N729AA,153,154,113,-1,0,ATL,DFW,732,24,16,0,NA,0,NA,NA,NA,NA,NA
2000,12,23,6,2000,1958,2120,2132,AA,413,N203AA,140,154,110,-12,2,ATL,DFW,732,16,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,24,7,2045,1958,2155,2132,AA,413,N859AA,130,154,105,23,47,ATL,DFW,732,7,18,1,NA,0,NA,NA,NA,NA,NA
2000,12,25,1,NA,1958,NA,2132,AA,413,UNKNOW,NA,154,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,26,2,NA,1958,NA,2132,AA,413,UNKNOW,NA,154,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,27,3,2100,1958,2249,2132,AA,413,N844AA,169,154,113,77,62,ATL,DFW,732,42,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,28,4,2031,1958,2202,2132,AA,413,N865AA,151,154,113,30,33,ATL,DFW,732,8,30,0,NA,0,NA,NA,NA,NA,NA
2000,12,29,5,1954,1958,2112,2132,AA,413,N859AA,138,154,118,-20,-4,ATL,DFW,732,10,10,0,NA,0,NA,NA,NA,NA,NA
2000,12,30,6,1958,1958,2130,2132,AA,413,N723AA,152,154,111,-2,0,ATL,DFW,732,10,31,0,NA,0,NA,NA,NA,NA,NA
2000,12,3,7,701,700,838,819,AA,455,N404AA,157,139,118,19,1,ATL,DFW,732,5,34,0,NA,0,NA,NA,NA,NA,NA
2000,12,10,7,658,700,821,819,AA,455,N221AA,143,139,124,2,-2,ATL,DFW,732,11,8,0,NA,0,NA,NA,NA,NA,NA
2000,12,1,5,1154,1154,1321,1312,AA,467,N897AA,147,138,117,9,0,ATL,DFW,732,17,13,0,NA,0,NA,NA,NA,NA,NA
2000,12,2,6,1152,1154,1308,1312,AA,467,N709AA,136,138,118,-4,-2,ATL,DFW,732,9,9,0,NA,0,NA,NA,NA,NA,NA
2000,12,3,7,1153,1154,1309,1312,AA,467,N720AA,136,138,112,-3,-1,ATL,DFW,732,12,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,4,1,NA,1154,NA,1312,AA,467,UNKNOW,NA,138,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,5,2,1148,1154,1321,1312,AA,467,N861AA,153,138,115,9,-6,ATL,DFW,732,11,27,0,NA,0,NA,NA,NA,NA,NA
2000,12,6,3,1153,1154,1327,1312,AA,467,N846AA,154,138,119,15,-1,ATL,DFW,732,15,20,0,NA,0,NA,NA,NA,NA,NA
2000,12,7,4,1149,1154,1308,1312,AA,467,N719AA,139,138,104,-4,-5,ATL,DFW,732,15,20,0,NA,0,NA,NA,NA,NA,NA
2000,12,8,5,1150,1154,1301,1312,AA,467,N726AA,131,138,111,-11,-4,ATL,DFW,732,8,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,9,6,1151,1154,1311,1312,AA,467,N721AA,140,138,114,-1,-3,ATL,DFW,732,15,11,0,NA,0,NA,NA,NA,NA,NA
2000,12,10,7,1153,1154,1322,1312,AA,467,N722AA,149,138,123,10,-1,ATL,DFW,732,10,16,0,NA,0,NA,NA,NA,NA,NA
2000,12,11,1,NA,1154,NA,1312,AA,467,UNKNOW,NA,138,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,12,2,1151,1154,1317,1312,AA,467,N846AA,146,138,110,5,-3,ATL,DFW,732,19,17,0,NA,0,NA,NA,NA,NA,NA
2000,12,13,3,1152,1154,1323,1312,AA,467,N729AA,151,138,124,11,-2,ATL,DFW,732,9,18,0,NA,0,NA,NA,NA,NA,NA
2000,12,14,4,1157,1154,1324,1312,AA,467,N873AA,147,138,114,12,3,ATL,DFW,732,12,21,0,NA,0,NA,NA,NA,NA,NA
2000,12,15,5,1145,1146,1306,1310,AA,467,N860AA,141,144,119,-4,-1,ATL,DFW,732,10,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,16,6,1141,1146,1319,1310,AA,467,N874AA,158,144,124,9,-5,ATL,DFW,732,19,15,0,NA,0,NA,NA,NA,NA,NA
2000,12,17,7,1148,1146,1330,1310,AA,467,N846AA,162,144,115,20,2,ATL,DFW,732,27,20,0,NA,0,NA,NA,NA,NA,NA
2000,12,18,1,1143,1146,1314,1310,AA,467,N719AA,151,144,119,4,-3,ATL,DFW,732,18,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,19,2,1146,1146,1311,1310,AA,467,N883AA,145,144,107,1,0,ATL,DFW,732,14,24,0,NA,0,NA,NA,NA,NA,NA
2000,12,20,3,1200,1146,1311,1310,AA,467,N843AA,131,144,108,1,14,ATL,DFW,732,10,13,0,NA,0,NA,NA,NA,NA,NA
2000,12,21,4,1150,1146,1325,1310,AA,467,N849AA,155,144,122,15,4,ATL,DFW,732,14,19,0,NA,0,NA,NA,NA,NA,NA
2000,12,22,5,1145,1146,1326,1310,AA,467,N844AA,161,144,117,16,-1,ATL,DFW,732,28,16,0,NA,0,NA,NA,NA,NA,NA
2000,12,23,6,1145,1146,1309,1310,AA,467,N887AA,144,144,121,-1,-1,ATL,DFW,732,11,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,24,7,1146,1146,1300,1310,AA,467,N861AA,134,144,111,-10,0,ATL,DFW,732,10,13,0,NA,0,NA,NA,NA,NA,NA
2000,12,25,1,NA,1146,NA,1310,AA,467,UNKNOW,NA,144,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,26,2,1559,1146,1709,1310,AA,467,N848AA,130,144,109,239,253,ATL,DFW,732,8,13,0,NA,0,NA,NA,NA,NA,NA
2000,12,27,3,1158,1146,1322,1310,AA,467,N859AA,144,144,117,12,12,ATL,DFW,732,15,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,28,4,1147,1146,1300,1310,AA,467,N860AA,133,144,107,-10,1,ATL,DFW,732,6,20,0,NA,0,NA,NA,NA,NA,NA
2000,12,29,5,1143,1146,1310,1310,AA,467,N862AA,147,144,117,0,-3,ATL,DFW,732,16,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,30,6,1148,1146,1258,1310,AA,467,N874AA,130,144,111,-12,2,ATL,DFW,732,8,11,0,NA,0,NA,NA,NA,NA,NA
2000,12,31,7,1147,1146,1401,1310,AA,467,N727AA,194,144,122,51,1,ATL,DFW,732,57,15,0,NA,0,NA,NA,NA,NA,NA
2000,12,1,5,1322,1323,1452,1453,AA,481,N258AA,150,150,122,-1,-1,ATL,DFW,732,17,11,0,NA,0,NA,NA,NA,NA,NA
2000,12,2,6,NA,1323,NA,1453,AA,481,UNKNOW,NA,150,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,3,7,1322,1323,1447,1453,AA,481,N521AA,145,150,121,-6,-1,ATL,DFW,732,10,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,4,1,1321,1323,1444,1453,AA,481,N214AA,143,150,113,-9,-2,ATL,DFW,732,16,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,5,2,1332,1323,1500,1453,AA,481,N457AA,148,150,118,7,9,ATL,DFW,732,12,18,1,NA,0,NA,NA,NA,NA,NA
2000,12,6,3,1334,1323,1457,1453,AA,481,N525AA,143,150,114,4,11,ATL,DFW,732,14,15,0,NA,0,NA,NA,NA,NA,NA
2000,12,7,4,1327,1323,1444,1453,AA,481,N586AA,137,150,113,-9,4,ATL,DFW,732,10,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,8,5,1321,1323,1439,1453,AA,481,N484AA,138,150,113,-14,-2,ATL,DFW,732,16,9,0,NA,0,NA,NA,NA,NA,NA
2000,12,9,6,1318,1323,1444,1453,AA,481,N478AA,146,150,128,-9,-5,ATL,DFW,732,8,10,0,NA,0,NA,NA,NA,NA,NA
2000,12,10,7,1320,1323,1441,1453,AA,481,N566AA,141,150,120,-12,-3,ATL,DFW,732,9,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,11,1,1317,1323,1446,1453,AA,481,N216AA,149,150,121,-7,-6,ATL,DFW,732,14,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,12,2,1321,1323,1437,1453,AA,481,N480AA,136,150,113,-16,-2,ATL,DFW,732,9,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,13,3,NA,1323,NA,1453,AA,481,UNKNOW,NA,150,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,14,4,1330,1323,1452,1453,AA,481,N535AA,142,150,116,-1,7,ATL,DFW,732,7,19,0,NA,0,NA,NA,NA,NA,NA
2000,12,15,5,1336,1328,1513,1452,AA,481,N403AA,157,144,136,21,8,ATL,DFW,732,7,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,18,1,1327,1328,1450,1452,AA,481,N219AA,143,144,119,-2,-1,ATL,DFW,732,13,11,0,NA,0,NA,NA,NA,NA,NA
2000,12,19,2,1330,1328,1452,1452,AA,481,N498AA,142,144,112,0,2,ATL,DFW,732,14,16,0,NA,0,NA,NA,NA,NA,NA
2000,12,20,3,1329,1328,1453,1452,AA,481,N492AA,144,144,117,1,1,ATL,DFW,732,9,18,0,NA,0,NA,NA,NA,NA,NA
2000,12,21,4,1401,1328,1524,1452,AA,481,N543AA,143,144,123,32,33,ATL,DFW,732,8,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,22,5,1326,1328,1515,1452,AA,481,N225AA,169,144,117,23,-2,ATL,DFW,732,38,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,25,1,1337,1328,1519,1452,AA,481,N517AA,162,144,117,27,9,ATL,DFW,732,24,21,0,NA,0,NA,NA,NA,NA,NA
2000,12,26,2,NA,1328,NA,1452,AA,481,UNKNOW,NA,144,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,27,3,1343,1328,1515,1452,AA,481,N573AA,152,144,119,23,15,ATL,DFW,732,15,18,0,NA,0,NA,NA,NA,NA,NA
2000,12,28,4,1333,1328,1446,1452,AA,481,N544AA,133,144,114,-6,5,ATL,DFW,732,9,10,0,NA,0,NA,NA,NA,NA,NA
2000,12,29,5,1326,1328,1444,1452,AA,481,N554AA,138,144,117,-8,-2,ATL,DFW,732,11,10,0,NA,0,NA,NA,NA,NA,NA
2000,12,1,5,1703,1703,1830,1828,AA,867,N418AA,147,145,118,2,0,ATL,DFW,732,10,19,0,NA,0,NA,NA,NA,NA,NA
2000,12,4,1,1703,1703,1822,1828,AA,867,N205AA,139,145,112,-6,0,ATL,DFW,732,14,13,0,NA,0,NA,NA,NA,NA,NA
2000,12,5,2,1701,1703,1824,1828,AA,867,N540AA,143,145,121,-4,-2,ATL,DFW,732,7,15,0,NA,0,NA,NA,NA,NA,NA
2000,12,6,3,1703,1703,1822,1828,AA,867,N262AA,139,145,109,-6,0,ATL,DFW,732,16,14,0,NA,0,NA,NA,NA,NA,NA
2000,12,7,4,1703,1703,1818,1828,AA,867,N593AA,135,145,111,-10,0,ATL,DFW,732,9,15,0,NA,0,NA,NA,NA,NA,NA
2000,12,8,5,1702,1703,1819,1828,AA,867,N404AA,137,145,112,-9,-1,ATL,DFW,732,16,9,0,NA,0,NA,NA,NA,NA,NA
2000,12,11,1,1700,1703,1822,1828,AA,867,N582AA,142,145,118,-6,-3,ATL,DFW,732,15,9,0,NA,0,NA,NA,NA,NA,NA
2000,12,12,2,1703,1703,1822,1828,AA,867,N461AA,139,145,106,-6,0,ATL,DFW,732,7,26,0,NA,0,NA,NA,NA,NA,NA
2000,12,13,3,1706,1703,1827,1828,AA,867,N434AA,141,145,123,-1,3,ATL,DFW,732,6,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,14,4,1708,1703,1829,1828,AA,867,N245AA,141,145,115,1,5,ATL,DFW,732,11,15,0,NA,0,NA,NA,NA,NA,NA
2000,12,1,5,1213,852,1336,1017,AA,1085,N291AA,143,145,116,199,201,ATL,DFW,732,5,22,0,NA,0,NA,NA,NA,NA,NA
2000,12,1,5,1811,1815,1954,1954,AA,1189,N2CWAA,163,159,122,0,-4,ATL,DFW,732,17,24,0,NA,0,NA,NA,NA,NA,NA
2000,12,3,7,1832,1815,1958,1954,AA,1189,N2DJAA,146,159,112,4,17,ATL,DFW,732,16,18,0,NA,0,NA,NA,NA,NA,NA
2000,12,4,1,1932,1815,2050,1954,AA,1189,N2DJAA,138,159,114,56,77,ATL,DFW,732,11,13,0,NA,0,NA,NA,NA,NA,NA
2000,12,5,2,1810,1815,1956,1954,AA,1189,N2AWAA,166,159,129,2,-5,ATL,DFW,732,19,18,0,NA,0,NA,NA,NA,NA,NA
2000,12,6,3,1811,1815,1944,1954,AA,1189,N2AUAA,153,159,107,-10,-4,ATL,DFW,732,15,31,0,NA,0,NA,NA,NA,NA,NA
2000,12,7,4,1818,1815,1959,1954,AA,1189,N2BYAA,161,159,122,5,3,ATL,DFW,732,12,27,0,NA,0,NA,NA,NA,NA,NA
2000,12,8,5,1813,1815,2000,1954,AA,1189,N2BFAA,167,159,116,6,-2,ATL,DFW,732,23,28,0,NA,0,NA,NA,NA,NA,NA
2000,12,10,7,1813,1815,1944,1954,AA,1189,N2AVAA,151,159,123,-10,-2,ATL,DFW,732,10,18,0,NA,0,NA,NA,NA,NA,NA
2000,12,11,1,1812,1815,1937,1954,AA,1189,N2CBAA,145,159,124,-17,-3,ATL,DFW,732,12,9,0,NA,0,NA,NA,NA,NA,NA
2000,12,12,2,NA,1815,NA,1954,AA,1189,UNKNOW,NA,159,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,13,3,2027,1815,2153,1954,AA,1189,N2AUAA,146,159,124,119,132,ATL,DFW,732,12,10,1,NA,0,NA,NA,NA,NA,NA
2000,12,14,4,1812,1815,1937,1954,AA,1189,N2CMAA,145,159,115,-17,-3,ATL,DFW,732,10,20,0,NA,0,NA,NA,NA,NA,NA
2000,12,15,5,1844,1814,2008,1954,AA,1189,N2AXAA,144,160,130,14,30,ATL,DFW,732,5,9,0,NA,0,NA,NA,NA,NA,NA
2000,12,16,6,1957,1814,2140,1954,AA,1189,N2BJAA,163,160,125,106,103,ATL,DFW,732,13,25,0,NA,0,NA,NA,NA,NA,NA
2000,12,17,7,1813,1814,2006,1954,AA,1189,N2BFAA,173,160,120,12,-1,ATL,DFW,732,23,30,0,NA,0,NA,NA,NA,NA,NA
2000,12,18,1,1816,1814,2008,1954,AA,1189,N2CNAA,172,160,130,14,2,ATL,DFW,732,24,18,0,NA,0,NA,NA,NA,NA,NA
2000,12,19,2,1838,1814,2010,1954,AA,1189,N2DBAA,152,160,117,16,24,ATL,DFW,732,14,21,0,NA,0,NA,NA,NA,NA,NA
2000,12,20,3,1814,1814,1952,1954,AA,1189,N2CEAA,158,160,123,-2,0,ATL,DFW,732,18,17,0,NA,0,NA,NA,NA,NA,NA
2000,12,21,4,1812,1814,2003,1954,AA,1189,N2CNAA,171,160,124,9,-2,ATL,DFW,732,35,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,22,5,1816,1814,1947,1954,AA,1189,N2CCAA,151,160,121,-7,2,ATL,DFW,732,9,21,0,NA,0,NA,NA,NA,NA,NA
2000,12,23,6,1818,1814,1958,1954,AA,1189,N2BHAA,160,160,118,4,4,ATL,DFW,732,13,29,0,NA,0,NA,NA,NA,NA,NA
2000,12,24,7,1807,1814,1932,1954,AA,1189,N2ATAA,145,160,111,-22,-7,ATL,DFW,732,22,12,0,NA,0,NA,NA,NA,NA,NA
2000,12,25,1,NA,1814,NA,1954,AA,1189,UNKNOW,NA,160,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,26,2,NA,1814,NA,1954,AA,1189,UNKNOW,NA,160,NA,NA,NA,ATL,DFW,732,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,27,3,2130,1814,NA,1954,AA,1189,N2AJAA,NA,160,NA,NA,196,ATL,DFW,732,0,20,0,NA,1,NA,NA,NA,NA,NA
2000,12,28,4,1851,1814,2014,1954,AA,1189,N2DHAA,143,160,119,20,37,ATL,DFW,732,13,11,0,NA,0,NA,NA,NA,NA,NA
2000,12,29,5,1810,1814,1951,1954,AA,1189,N2CAAA,161,160,130,-3,-4,ATL,DFW,732,15,16,0,NA,0,NA,NA,NA,NA,NA
2000,12,30,6,1818,1814,1958,1954,AA,1189,N2CHAA,160,160,127,4,4,ATL,DFW,732,9,24,0,NA,0,NA,NA,NA,NA,NA
